state,year,value
Mississippi,2013,17.57677804440322
Missouri,2013,21.828611428641562
Montana,2013,21.853217422124207
Nebraska,2013,14.499184893077958
Nevada,2013,15.064369506000075
New Hampshire,2013,12.793550648440238
New Jersey,2013,7.018080757800588
New Mexico,2013,20.709694800446446
New York,2013,7.4986189903919405
North Carolina,2013,16.860901455230636
North Dakota,2013,15.93875922734983
Ohio,2013,14.471498407906685
Oklahoma,2013,17.018096743056095
Oregon,2013,16.0070980490209
Pennsylvania,2013,14.592761051360892
Rhode Island,2013,4.678787103251748
South Carolina,2013,16.42634021712668
South Dakota,2013,12.22910870654122
Tennessee,2013,15.24233118856789
Texas,2013,16.138818176519806
Vermont,2013,26.993215760916776
Utah,2013,22.905361460852163
Virginia,2013,11.190946714561484
Washington,2013,14.607512713849616
West Virginia,2013,17.094088834676093
Wisconsin,2013,18.110188414203748
Wyoming,2013,20.649723441203914
Alabama,2013,17.93305564685567
Alaska,2013,21.78281812084629
Arizona,2013,14.738865107553329
Arkansas,2013,19.308303853187542
California,2013,18.41410267598544
Colorado,2013,20.91501897343719
Delaware,2013,6.905928256913743
Connecticut,2013,14.487782305614019
Florida,2013,14.497868984123322
Georgia,2013,21.85206225604143
Idaho,2013,22.281470001988144
Hawaii,2013,12.598862525548743
Illinois,2013,17.204757850082608
Indiana,2013,17.44191771117057
Iowa,2013,19.999854393553193
Kansas,2013,14.56233967149998
Kentucky,2013,19.048289100229066
Louisiana,2013,14.816835816819035
Maine,2013,17.627070985929894
Maryland,2013,9.1071296399097
Massachusetts,2013,8.993814268777493
Michigan,2013,12.37967929787244
Minnesota,2013,20.07680355328465
Alabama,2014,16.460037029855794
Alaska,2014,20.185533067103528
Arizona,2014,13.798701632902288
Arkansas,2014,17.595165864041697
California,2014,16.162049458531968
Colorado,2014,20.094803274380364
Delaware,2014,6.014130375733038
Connecticut,2014,13.205174444633752
Florida,2014,12.301573980294338
Georgia,2014,20.309985641895896
Idaho,2014,22.403129210073917
Hawaii,2014,11.54493765099197
Illinois,2014,14.902939200041237
Indiana,2014,15.16182870047576
Iowa,2014,19.764376292317742
Kansas,2014,13.35929612000577
Kentucky,2014,17.4657466237251
Louisiana,2014,13.691760069002685
Maine,2014,17.628005186954045
Maryland,2014,8.183471427027696
Massachusetts,2014,7.385413299776883
Michigan,2014,11.201817985518078
Minnesota,2014,19.347687741141605
Mississippi,2014,16.45594224614742
Missouri,2014,18.82615532724735
Montana,2014,21.581800750434347
Nebraska,2014,14.141866853860535
Nevada,2014,13.443411233662811
New Hampshire,2014,12.364840425122557
New Jersey,2014,5.594889766135687
New Mexico,2014,20.84237944792855
New York,2014,6.421923108294823
North Carolina,2014,15.311189198600756
North Dakota,2014,13.805736811260152
Ohio,2014,13.45934791904157
Oklahoma,2014,15.900501384132587
Oregon,2014,15.327145165355377
Pennsylvania,2014,12.882846890358458
Rhode Island,2014,4.11127439253614
South Carolina,2014,14.506539443017022
South Dakota,2014,12.90171163764108
Tennessee,2014,13.288267557622232
Texas,2014,14.46370061991785
Vermont,2014,25.975687033732587
Utah,2014,21.44636693271775
Virginia,2014,9.747326367946249
Washington,2014,14.094337179303935
West Virginia,2014,16.606901240863507
Wisconsin,2014,16.6361093476796
Wyoming,2014,18.77348512859317
Mississippi,2015,15.827561571247342
Missouri,2015,17.583923712608144
Montana,2015,21.34984233517517
Nebraska,2015,13.585134359726887
Nevada,2015,11.386141939322403
New Hampshire,2015,11.391864609796857
New Jersey,2015,5.017686842664109
New Mexico,2015,19.301336182736346
New York,2015,5.379768621675177
North Carolina,2015,14.122685037639075
North Dakota,2015,10.95621660419491
Ohio,2015,11.964907291733374
Oklahoma,2015,14.137580314758132
Oregon,2015,14.066848870561193
Pennsylvania,2015,11.618194133740326
Rhode Island,2015,3.5942515534352273
South Carolina,2015,12.403001881828086
South Dakota,2015,11.17615345410194
Tennessee,2015,11.888541098543232
Texas,2015,12.673970738144133
Vermont,2015,25.351460577168304
Utah,2015,19.024254011901437
Virginia,2015,8.715035429262977
Washington,2015,12.958751699148236
West Virginia,2015,15.966406003245586
Wisconsin,2015,15.522746340003915
Wyoming,2015,16.602384061990854
Alabama,2015,14.524937851699804
Alaska,2015,19.625477146911287
Arizona,2015,12.584327781314556
Arkansas,2015,15.325209253727953
California,2015,14.019788689162374
Colorado,2015,18.904149204597214
Delaware,2015,6.103603284221274
Connecticut,2015,11.250328383578811
Florida,2015,10.682638938018947
Georgia,2015,17.756174298977108
Idaho,2015,21.958217069704613
Hawaii,2015,8.635319866527933
Illinois,2015,13.204170675581285
Indiana,2015,14.234975903954567
Iowa,2015,18.604384529472462
Kansas,2015,12.125241322727428
Kentucky,2015,16.309999953384516
Louisiana,2015,12.351171638544734
Maine,2015,17.040823438354003
Maryland,2015,6.778075001354495
Massachusetts,2015,6.414107145019572
Michigan,2015,9.89174121142445
Minnesota,2015,17.90941207919667
Mississippi,2016,70.66075904127854
Missouri,2016,79.28294107976174
Montana,2016,78.85419044758186
Nebraska,2016,81.57851790219406
Nevada,2016,80.87945122910503
New Hampshire,2016,86.42716794425354
New Jersey,2016,84.23806526115513
New Mexico,2016,73.73820487259415
New York,2016,81.66896793948276
North Carolina,2016,78.95167528113242
North Dakota,2016,81.39680262999232
Ohio,2016,80.87848016798608
Oklahoma,2016,77.17114191250232
Oregon,2016,84.89951504061266
Pennsylvania,2016,80.45146281591431
Rhode Island,2016,82.82966595548196
South Carolina,2016,77.01459139980201
South Dakota,2016,79.51545345401088
Tennessee,2016,76.7015786681855
Texas,2016,80.54597859057185
Vermont,2016,81.14231452888158
Utah,2016,85.38170613912783
