state,year,value
Alabama,2015,1.800170
Alabama,2016,1.417563
Alabama,2017,1.971027
Alabama,2018,2.267154
Alabama,2019,2.434993
Alabama,2020,3.012265
Alabama,2021,2.515269
Alabama,2022,2.245254
Alabama,2023,2.102359
Alabama,2024,2.098540
Alaska,2015,7.327708
Alaska,2016,7.119634
Alaska,2017,6.686731
Alaska,2018,7.160879
Alaska,2019,7.233357
Alaska,2020,7.465035
Alaska,2021,6.771920
Alaska,2022,6.740517
Alaska,2023,6.883606
Alaska,2024,7.081147
Arizona,2015,2.485938
Arizona,2016,2.886222
Arizona,2017,3.154563
Arizona,2018,3.057254
Arizona,2019,2.946361
Arizona,2020,3.450334
Arizona,2021,3.827456
Arizona,2022,3.896447
Arizona,2023,3.920074
Arizona,2024,4.638919
Arkansas,2015,1.817500
Arkansas,2016,1.666590
Arkansas,2017,1.352859
Arkansas,2018,1.255846
Arkansas,2019,1.854689
Arkansas,2020,2.535629
Arkansas,2021,1.992774
Arkansas,2022,1.727868
Arkansas,2023,1.746106
Arkansas,2024,2.527975
California,2015,8.923989
California,2016,12.014053
California,2017,14.259321
California,2018,12.988478
California,2019,14.471198
California,2020,12.551672
California,2021,11.943490
California,2022,12.387115
California,2023,13.818997
California,2024,14.679380
Colorado,2015,3.840723
Colorado,2016,4.790421
Colorado,2017,5.001816
Colorado,2018,5.157945
Colorado,2019,5.592782
Colorado,2020,7.118106
Colorado,2021,7.431621
Colorado,2022,8.189928
Colorado,2023,8.624279
Colorado,2024,9.680706
Connecticut,2015,2.013972
Connecticut,2016,2.126747
Connecticut,2017,2.289185
Connecticut,2018,1.998675
Connecticut,2019,1.863126
Connecticut,2020,1.777635
Connecticut,2021,1.773894
Connecticut,2022,1.513929
Connecticut,2023,1.664527
Connecticut,2024,1.585760
Delaware,2015,0.605115
Delaware,2016,0.496520
Delaware,2017,0.565521
Delaware,2018,0.662730
Delaware,2019,0.975483
Delaware,2020,1.051142
Delaware,2021,1.266113
Delaware,2022,1.029171
Delaware,2023,1.834782
Delaware,2024,1.760683
Florida,2015,0.699472
Florida,2016,0.706129
Florida,2017,0.834199
Florida,2018,0.993646
Florida,2019,1.038307
Florida,2020,1.256826
Florida,2021,1.508973
Florida,2022,1.569145
Florida,2023,1.781113
Florida,2024,2.183370
Georgia,2015,0.815279
Georgia,2016,1.019692
Georgia,2017,1.202717
Georgia,2018,1.448291
Georgia,2019,1.636588
Georgia,2020,2.537726
Georgia,2021,2.459027
Georgia,2022,2.755810
Georgia,2023,2.768328
Georgia,2024,2.913968
Idaho,2015,22.114190
Idaho,2016,23.339687
Idaho,2017,24.633192
Idaho,2018,24.383931
Idaho,2019,22.564954
Idaho,2020,22.348576
Idaho,2021,20.185890
Idaho,2022,21.217021
Idaho,2023,19.411881
Idaho,2024,19.457745
Illinois,2015,1.822280
Illinois,2016,1.921929
Illinois,2017,2.233251
Illinois,2018,2.099021
Illinois,2019,2.610856
Illinois,2020,3.288200
Illinois,2021,3.549099
Illinois,2022,4.397480
Illinois,2023,4.452957
Illinois,2024,4.814318
Indiana,2015,1.059062
Indiana,2016,1.184061
Indiana,2017,1.249975
Indiana,2018,1.162660
Indiana,2019,1.502243
Indiana,2020,1.772342
Indiana,2021,2.071730
Indiana,2022,2.576901
Indiana,2023,2.774769
Indiana,2024,3.141224
Iowa,2015,8.171471
Iowa,2016,9.561947
Iowa,2017,9.633317
Iowa,2018,8.640672
Iowa,2019,10.928433
Iowa,2020,15.029837
Iowa,2021,13.766669
Iowa,2022,15.867188
Iowa,2023,15.127005
Iowa,2024,16.353609
Kansas,2015,5.871776
Kansas,2016,7.226699
Kansas,2017,9.277169
Kansas,2018,9.121670
Kansas,2019,10.508647
Kansas,2020,11.324398
Kansas,2021,11.343924
Kansas,2022,11.960694
Kansas,2023,12.021742
Kansas,2024,13.425002
Kentucky,2015,0.768940
Kentucky,2016,0.857227
Kentucky,2017,1.249317
Kentucky,2018,1.146873
Kentucky,2019,1.267059
Kentucky,2020,1.723263
Kentucky,2021,1.487969
Kentucky,2022,1.340917
Kentucky,2023,1.307520
Kentucky,2024,1.264787
Louisiana,2015,0.403309
Louisiana,2016,0.456921
Louisiana,2017,0.436126
Louisiana,2018,0.509369
Louisiana,2019,0.613296
Louisiana,2020,0.535674
Louisiana,2021,0.555981
Louisiana,2022,0.460290
Louisiana,2023,0.464406
Louisiana,2024,0.798930
Maine,2015,17.777176
Maine,2016,17.298459
Maine,2017,20.834243
Maine,2018,20.893020
Maine,2019,23.078573
Maine,2020,22.628624
Maine,2021,18.581372
Maine,2022,17.283750
Maine,2023,18.013969
Maine,2024,18.232755
Maryland,2015,2.369665
Maryland,2016,2.404656
Maryland,2017,3.424500
Maryland,2018,3.118540
Maryland,2019,3.109293
Maryland,2020,3.172633
Maryland,2021,3.292238
Maryland,2022,3.046041
Maryland,2023,3.627153
Maryland,2024,3.850549
Massachusetts,2015,3.726003
Massachusetts,2016,3.847410
Massachusetts,2017,4.194227
Massachusetts,2018,5.453610
Massachusetts,2019,6.199842
