state,year,value
Alabama,2013,23.300000
Alaska,2013,25.200000
Arizona,2013,27.900000
Arkansas,2013,20.400000
California,2013,31.300000
Colorado,2013,37.900000
Connecticut,2013,37.200000
Delaware,2013,29.900000
Florida,2013,27.900000
Georgia,2013,28.100000
Hawaii,2013,30.300000
Idaho,2013,27.200000
Illinois,2013,31.800000
Indiana,2013,23.400000
Iowa,2013,25.400000
Kansas,2013,30.800000
Kentucky,2013,22.200000
Louisiana,2013,21.300000
Maine,2013,26.700000
Maryland,2013,36.700000
Massachusetts,2013,40.100000
Michigan,2013,27.100000
Minnesota,2013,32.800000
Mississippi,2013,19.100000
Missouri,2013,26.800000
Montana,2013,27.900000
Nebraska,2013,28.800000
Nevada,2013,22.900000
New Hampshire,2013,34.200000
New Jersey,2013,37.200000
New Mexico,2013,25.700000
New York,2013,33.500000
North Carolina,2013,27.900000
North Dakota,2013,25.300000
Ohio,2013,26.300000
Oklahoma,2013,23.600000
Oregon,2013,31.100000
Pennsylvania,2013,28.900000
Rhode Island,2013,33.200000
South Carolina,2013,26.300000
South Dakota,2013,25.800000
Tennessee,2013,24.600000
Texas,2013,27.700000
Utah,2013,33.700000
Vermont,2013,32.300000
Virginia,2013,36.500000
Washington,2013,33.100000
West Virginia,2013,18.600000
Wisconsin,2013,26.600000
Wyoming,2013,25.900000
Alabama,2014,23.100000
Alaska,2014,25.000000
Arizona,2014,28.000000
Arkansas,2014,20.900000
California,2014,32.000000
Colorado,2014,37.600000
Connecticut,2014,37.900000
Delaware,2014,29.700000
Florida,2014,28.000000
Georgia,2014,28.600000
Hawaii,2014,30.000000
Idaho,2014,26.100000
Illinois,2014,32.500000
Indiana,2014,24.200000
Iowa,2014,26.800000
Kansas,2014,31.000000
Kentucky,2014,21.500000
Louisiana,2014,21.800000
Maine,2014,28.100000
Maryland,2014,38.100000
Massachusetts,2014,41.000000
Michigan,2014,27.100000
Minnesota,2014,33.400000
Mississippi,2014,19.100000
Missouri,2014,26.700000
Montana,2014,28.700000
