state,year,value
Mississippi,2013,82.9
Missouri,2013,87.0
Montana,2013,83.5
Nebraska,2013,88.7
Nevada,2013,79.3
New Hampshire,2013,89.3
New Jersey,2013,86.8
New Mexico,2013,81.4
New York,2013,89.3
North Carolina,2013,84.4
North Dakota,2013,89.6
Ohio,2013,89.0
Oklahoma,2013,82.3
Oregon,2013,85.3
Pennsylvania,2013,90.3
Rhode Island,2013,88.4
South Carolina,2013,84.2
South Dakota,2013,88.7
Tennessee,2013,86.1
Texas,2013,77.9
Vermont,2013,92.8
Utah,2013,86.0
Virginia,2013,87.7
Washington,2013,86.0
West Virginia,2013,86.0
Wisconsin,2013,90.9
Wyoming,2013,86.6
Alabama,2013,86.4
Alaska,2013,81.5
Arizona,2013,82.9
Arkansas,2013,84.0
California,2013,82.8
Colorado,2013,85.9
Delaware,2013,90.9
Connecticut,2013,90.6
Florida,2013,80.0
Georgia,2013,81.2
Idaho,2013,83.8
Hawaii,2013,93.3
Illinois,2013,87.3
Indiana,2013,86.0
Iowa,2013,91.9
Kansas,2013,87.7
Kentucky,2013,85.7
Louisiana,2013,83.4
Maine,2013,88.8
Maryland,2013,89.8
Massachusetts,2013,96.3
Michigan,2013,89.0
Minnesota,2013,91.8
Alabama,2014,87.9
Alaska,2014,82.8
Arizona,2014,86.4
Arkansas,2014,88.2
California,2014,87.6
Colorado,2014,89.7
Delaware,2014,92.2
Connecticut,2014,93.1
Florida,2014,83.4
Georgia,2014,84.2
Idaho,2014,86.4
Hawaii,2014,94.7
Illinois,2014,90.3
Indiana,2014,88.1
Iowa,2014,93.8
Kansas,2014,89.8
Kentucky,2014,91.5
Louisiana,2014,85.2
Maine,2014,89.9
Maryland,2014,92.1
Massachusetts,2014,96.7
Michigan,2014,91.5
Minnesota,2014,94.1
Mississippi,2014,85.5
Missouri,2014,88.3
Montana,2014,85.8
Nebraska,2014,90.3
Nevada,2014,84.8
New Hampshire,2014,90.8
New Jersey,2014,89.1
New Mexico,2014,85.5
New York,2014,91.3
North Carolina,2014,86.9
North Dakota,2014,92.1
Ohio,2014,91.6
Oklahoma,2014,84.6
Oregon,2014,90.3
Pennsylvania,2014,91.5
Rhode Island,2014,92.6
South Carolina,2014,86.4
South Dakota,2014,90.2
Tennessee,2014,88.0
Texas,2014,80.9
Vermont,2014,95.0
Utah,2014,87.5
Virginia,2014,89.1
Washington,2014,90.8
West Virginia,2014,91.4
Wisconsin,2014,92.7
Wyoming,2014,88.0
Mississippi,2015,12.7
Missouri,2015,9.8
Montana,2015,11.6
Nebraska,2015,8.2
Nevada,2015,12.3
New Hampshire,2015,6.3
New Jersey,2015,8.7
New Mexico,2015,10.9
New York,2015,7.1
North Carolina,2015,11.2
North Dakota,2015,7.8
Ohio,2015,6.5
Oklahoma,2015,13.9
Oregon,2015,7.0
Pennsylvania,2015,6.4
Rhode Island,2015,5.7
South Carolina,2015,10.9
South Dakota,2015,10.2
Tennessee,2015,10.3
Texas,2015,17.1
Vermont,2015,3.8
Utah,2015,10.5
Virginia,2015,9.1
Washington,2015,6.6
West Virginia,2015,6.0
Wisconsin,2015,5.7
Wyoming,2015,11.5
Alabama,2015,10.1
Alaska,2015,14.9
Arizona,2015,10.8
Arkansas,2015,9.5
California,2015,8.6
Colorado,2015,8.1
Delaware,2015,5.9
Connecticut,2015,6.0
Florida,2015,13.3
Georgia,2015,13.9
Idaho,2015,11.0
Hawaii,2015,4.0
Illinois,2015,7.1
Indiana,2015,9.6
Iowa,2015,5.0
Kansas,2015,9.1
Kentucky,2015,6.0
Louisiana,2015,11.9
Maine,2015,8.4
Maryland,2015,6.6
Massachusetts,2015,2.8
Michigan,2015,6.1
Minnesota,2015,4.5
